Falla (%),Línea Principal,Relé Principal,TDS (Main),Pickup (Main),I_shc (Main),t_m (Main),Línea Backup,Relé Backup,TDS (Backup),Pickup (Backup),I_shc (Backup),t_b (Backup),Δt,MT,Estado
90,L1-2,R38,0.22986,0.39034,0.98,1.7318786078943444,L2-3,R39,0.73103,0.33688,0.58,9.367653446307974,7.4357748384136295,0.0,Coordinado
90,L1-2,R38,0.22986,0.39034,0.98,1.7318786078943444,L2-19,R55,0.33484,0.17258,0.4,2.764956428811939,0.8330778209175946,0.0,Coordinado
10,L10-11,R10,0.59113,0.31028,1.71,2.3832611417157414,L9-10,R9,0.28223,1.0697,1.71,4.1916290038988,1.6083678621830588,0.0,Coordinado
90,L11-12,R48,0.63005,0.18405,1.4,2.1298302698753635,L12-22,R72,0.45107,0.3416,0.88,3.305259252169122,0.9754289822937585,0.0,Coordinado
10,L12-13,R12,0.62966,0.21758,2.11,1.8963365144754465,L11-12,R11,0.46446,0.37954,1.28,2.6420781915853513,0.5457416771099048,0.0,Coordinado
10,L12-13,R12,0.62966,0.21758,2.11,1.8963365144754465,L12-22,R72,0.45107,0.3416,0.83,3.5251106756862445,1.428774161210798,0.0,Coordinado
90,L12-13,R49,0.39746,0.17322,0.96,1.5971131791350688,L13-14,R50,0.25844,0.4608,0.96,2.4467436194842156,0.6496304403491469,0.0,Coordinado
10,L13-14,R13,0.7114,0.11907,1.19,2.113836241440622,L12-13,R12,0.62966,0.21758,1.19,2.550200321621433,0.23636408018081062,0.0,Coordinado
90,L13-14,R50,0.25844,0.4608,1.27,1.7664106578940362,L14-15,R51,0.36249,0.51046,1.27,2.7586212082169723,0.7922105503229362,0.0,Coordinado
90,L14-15,R51,0.36249,0.51046,1.62,2.1718813894908537,L9-15,R34,0.82292,0.40975,1.1,5.7758344266297525,3.4039530371388986,0.0,Coordinado
10,L15-16,R15,0.27088,0.69237,1.83,1.9319805716626337,L14-15,R14,0.39553,0.2373,0.73,2.4362968895881174,0.3043163179254837,0.0,Coordinado
10,L15-16,R15,0.27088,0.69237,1.83,1.9319805716626337,L9-15,R34,0.82292,0.40975,1.1,5.7758344266297525,3.6438538549671184,0.0,Coordinado
90,L15-16,R52,0.55725,0.11016,0.62,2.218875709114002,L16-17,R53,0.42292,0.20276,0.62,2.619203545966217,0.20032783685221495,0.0,Coordinado
10,L16-17,R16,0.39311,0.38455,1.42,2.0790778613411804,L15-16,R15,0.27088,0.69237,1.42,2.6209028547111233,0.3418249933699428,0.0,Coordinado
10,L17-18,R17,0.45818,0.26543,0.97,2.442908783124689,L16-17,R16,0.39311,0.38455,0.97,2.946739041137269,0.30383025801257996,0.0,Coordinado
90,L17-18,R54,0.13388,0.5567,0.99,1.6185690602825775,L18-33,R73,0.46188,0.29472,0.99,2.636129038927355,0.8175599786447776,0.0,Coordinado
90,L19-20,R56,0.80316,0.09871,1.31,2.118663219069738,L20-21,R57,0.37014,0.48411,1.31,2.5769460382816978,0.25828281921195967,0.0,Coordinado
10,L2-19,R18,0.58768,1.46238,10.23,2.0738908699187317,L1-2,R1,0.7113,2.66663,9.71,3.8031998444067585,1.5293089744880268,0.0,Coordinado
10,L2-19,R18,0.58768,1.46238,10.23,2.0738908699187317,L2-3,R39,0.73103,0.33688,0.54,10.794077195191859,8.520186325273128,0.0,Coordinado
90,L2-19,R55,0.33484,0.17258,0.59,1.8833953375674968,L19-20,R56,0.80316,0.09871,0.59,3.0885883395410696,1.0051930019735729,0.0,Coordinado
10,L2-3,R2,0.60282,1.57179,9.81,2.2624341008451734,L1-2,R1,0.7113,2.66663,9.49,3.8727525624514465,1.4103184616062732,0.0,Coordinado
10,L2-3,R2,0.60282,1.57179,9.81,2.2624341008451734,L2-19,R55,0.33484,0.17258,0.32,3.772611814704762,1.3101777138595885,0.0,Coordinado
90,L2-3,R39,0.73103,0.33688,1.0,4.652208323812612,L3-4,R40,0.98269,0.33749,0.7,9.36031775763338,4.508109433820768,0.0,Coordinado
90,L2-3,R39,0.73103,0.33688,1.0,4.652208323812612,L3-23,R59,0.5058,0.17053,0.3,6.232637768005473,1.3804294441928608,0.0,Coordinado
10,L20-21,R20,0.81028,0.18593,2.34,2.1833957139470206,L19-20,R19,0.51606,1.51026,2.34,8.213928204723082,5.830532490776061,0.0,Coordinado
90,L20-21,R57,0.37014,0.48411,1.61,2.130330235786899,L21-22,R58,0.85163,0.11639,0.61,3.5394869369026503,1.2091567011157511,0.0,Coordinado
90,L20-21,R57,0.37014,0.48411,1.61,2.130330235786899,L8-21,R33,0.71013,0.56889,1.01,8.610228616117444,6.279898380330545,0.0,Coordinado
10,L21-22,R21,0.61484,0.32241,2.8,1.9483789087641545,L20-21,R20,0.81028,0.18593,1.84,2.418228305300638,0.2698493965364836,0.0,Coordinado
10,L21-22,R21,0.61484,0.32241,2.8,1.9483789087641545,L8-21,R33,0.71013,0.56889,0.96,9.45051365257757,7.302134743813415,0.0,Coordinado
90,L21-22,R58,0.85163,0.11639,0.86,2.9215095243179032,L12-22,R35,0.34954,0.43409,0.86,3.5544233782479226,0.4329138539300194,0.0,Coordinado
10,L8-21,R33,0.71013,0.56889,2.6,3.2217829034307,L7-8,R7,0.75475,0.3506,1.45,3.668873446805964,0.24709054337526365,0.0,Coordinado
10,L8-21,R33,0.71013,0.56889,2.6,3.2217829034307,L8-9,R45,0.49812,0.66998,1.16,6.31729197019336,2.89550906676266,0.0,Coordinado
90,L8-21,R70,0.47966,0.44643,2.26,2.036862070961823,L21-22,R58,0.85163,0.11639,0.51,3.9755727763247086,1.7387107053628859,0.0,Coordinado
90,L8-21,R70,0.47966,0.44643,2.26,2.036862070961823,L20-21,R20,0.81028,0.18593,1.75,2.473569549441021,0.2367074784791982,0.0,Coordinado
10,L12-22,R72,0.45107,0.3416,1.75,1.9012841066549298,L21-22,R21,0.61484,0.32241,0.96,3.901617306943544,1.800333200288614,0.0,Coordinado
90,L12-22,R35,0.34954,0.43409,1.72,1.75275867133976,L11-12,R11,0.46446,0.37954,0.69,5.406816582038874,3.454057910699114,0.0,Coordinado
90,L12-22,R35,0.34954,0.43409,1.72,1.75275867133976,L12-13,R49,0.39746,0.17322,0.27,6.240463812590854,4.287705141251094,0.0,Coordinado
10,L23-24,R23,0.42783,0.66896,4.13,1.6154548116932668,L3-23,R22,0.37389,1.70597,4.13,2.9340915817610016,1.1186367700677349,0.0,Coordinado
10,L25-29,R37,0.40894,0.51124,1.63,2.44029856179202,L24-25,R24,0.2741,0.89762,1.63,3.1969709299197824,0.5566723681277626,0.0,Coordinado
90,L25-29,R74,0.85788,0.1114,1.59,2.1994505293069446,L28-29,R28,0.74834,0.44843,1.14,5.562148086123867,3.162697556816922,0.0,Coordinado
10,L26-27,R26,0.66077,0.62739,3.07,2.8669536036052974,L6-26,R25,0.28813,1.81624,3.07,3.8222645759225413,0.755310972317244,0.0,Coordinado
90,L26-27,R63,0.38588,0.37953,0.82,3.479369746129952,L27-28,R64,0.38434,0.41863,0.82,3.9748112758580296,0.2954415297280774,0.0,Coordinado
10,L27-28,R27,0.56365,0.63939,2.53,2.829256682453768,L26-27,R26,0.66077,0.62739,2.53,3.2710647519660037,0.2418080695122355,0.0,Coordinado
90,L28-29,R65,0.6035,0.27304,1.76,2.2250480269527695,L25-29,R37,0.40894,0.51124,1.31,3.013709031270774,0.5886610043180045,0.0,Coordinado
10,L29-30,R29,0.53824,0.57626,2.47,2.5512393269222464,L28-29,R28,0.74834,0.44843,1.14,5.562148086123867,2.81090875920162,0.0,Coordinado
10,L29-30,R29,0.53824,0.57626,2.47,2.5512393269222464,L25-29,R37,0.40894,0.51124,1.33,2.9654982175466604,0.214258890624414,0.0,Coordinado
90,L29-30,R66,0.62244,0.08403,0.52,2.347206737319245,L30-31,R67,0.24245,0.30228,0.52,3.111590045474405,0.5643833081551601,0.0,Coordinado
10,L3-23,R22,0.37389,1.70597,6.56,1.9171585528033082,L2-3,R2,0.60282,1.57179,5.9,3.148146022773307,1.0309874699699988,0.0,Coordinado
10,L3-23,R22,0.37389,1.70597,6.56,1.9171585528033082,L3-4,R40,0.98269,0.33749,0.66,10.187500033078603,8.070341480275296,0.0,Coordinado
90,L3-23,R59,0.5058,0.17053,0.58,2.857109360073652,L23-24,R60,0.33132,0.29557,0.58,3.4172437936377476,0.3601344335640954,0.0,Coordinado
10,L3-4,R3,0.21013,2.65046,6.25,1.6999835332495241,L2-3,R2,0.60282,1.57179,5.99,3.112049159121377,1.2120656258718527,0.0,Coordinado
10,L3-4,R3,0.21013,2.65046,6.25,1.6999835332495241,L3-23,R59,0.5058,0.17053,0.27,7.669800276558234,5.769816743308709,0.0,Coordinado
90,L3-4,R40,0.98269,0.33749,1.04,6.043594182734341,L4-5,R41,0.54918,0.64616,1.04,8.039002374944632,1.7954081922102907,0.0,Coordinado
10,L30-31,R30,0.26627,0.75034,2.0,1.8826210983619376,L29-30,R29,0.53824,0.57626,2.0,2.9903250528802925,0.907703954518355,0.0,Coordinado
90,L30-31,R67,0.24245,0.30228,0.64,2.2455923825852073,L31-32,R68,0.22716,0.35325,0.64,2.659783995004434,0.21419161241922663,0.0,Coordinado
10,L31-32,R31,0.15677,0.85075,1.43,2.102208757038165,L30-31,R30,0.26627,0.75034,1.43,2.871586471468211,0.5693777144300458,0.0,Coordinado
10,L32-33,R32,0.19706,0.66627,1.28,2.0989283916734793,L31-32,R31,0.15677,0.85075,1.28,2.6754497140999747,0.37652132242649533,0.0,Coordinado
10,L4-5,R4,0.78945,0.39047,4.51,2.203801627964649,L3-4,R3,0.21013,2.65046,4.51,2.7524534803415244,0.3486518523768753,0.0,Coordinado
90,L4-5,R41,0.54918,0.64616,1.32,5.343204959654914,L5-6,R42,0.6328,0.75283,1.32,7.843987633719245,2.3007826740643313,0.0,Coordinado
90,L5-6,R42,0.6328,0.75283,2.0,4.489435051302412,L6-7,R43,0.41335,0.85508,1.4,5.839793301597158,1.1503582502947458,0.0,Coordinado
90,L5-6,R42,0.6328,0.75283,2.0,4.489435051302412,L6-26,R62,0.39481,0.35134,0.6,5.13645943203861,0.44702438073619727,0.0,Coordinado
10,L6-26,R25,0.28813,1.81624,3.46,3.109291611254434,L5-6,R5,0.34237,1.10511,2.04,3.8856601089239025,0.5763684976694685,0.0,Coordinado
10,L6-26,R25,0.28813,1.81624,3.46,3.109291611254434,L6-7,R43,0.41335,0.85508,1.44,5.522595705432146,2.2133040941777122,0.0,Coordinado
10,L6-7,R6,0.24753,1.37409,2.64,2.6362234829065154,L5-6,R5,0.34237,1.10511,2.02,3.949520954534553,1.1132974716280375,0.0,Coordinado
10,L6-7,R6,0.24753,1.37409,2.64,2.6362234829065154,L6-26,R62,0.39481,0.35134,0.62,4.8383311206525885,2.002107637746073,0.0,Coordinado
10,L7-8,R7,0.75475,0.3506,2.07,2.9228562348955816,L6-7,R6,0.24753,1.37409,2.07,4.211325646550708,1.0884694116551261,0.0,Coordinado
90,L7-8,R44,0.96844,0.36382,2.2,3.699706048617783,L8-21,R70,0.47966,0.44643,0.88,4.914076511747338,1.0143704631295554,0.0,Coordinado
